application/stix+json,IANA,,true,
application/swid+xml,IANA,,true,swidtag
application/tamp-apex-update,IANA,,false,
application/tamp-apex-update-confirm,IANA,,false,
application/tamp-community-update,IANA,,false,
application/tamp-community-update-confirm,IANA,,false,
application/tamp-error,IANA,,false,
application/tamp-sequence-adjust,IANA,,false,
application/tamp-sequence-adjust-confirm,IANA,,false,
application/tamp-status-query,IANA,,false,
application/tamp-status-response,IANA,,false,
application/tamp-update,IANA,,false,
application/tamp-update-confirm,IANA,,false,
application/tar,,,true,
application/taxii+json,IANA,,true,
application/td+json,IANA,,true,
application/tei+xml,IANA,,true,tei;teicorpus
application/tetra_isi,IANA,,false,
application/thraud+xml,IANA,,true,tfi
application/timestamp-query,IANA,,false,
application/timestamp-reply,IANA,,false,
application/timestamped-data,IANA,,false,tsd
application/tlsrpt+gzip,IANA,,false,
application/tlsrpt+json,IANA,,true,
application/tnauthlist,IANA,,false,
application/token-introspection+jwt,IANA,,false,
application/toml,,,true,toml
application/trickle-ice-sdpfrag,IANA,,false,
application/trig,IANA,,false,trig
application/ttml+xml,IANA,,true,ttml
application/tve-trigger,IANA,,false,
application/tzif,IANA,,false,
application/tzif-leap,IANA,,false,
application/ubjson,,,false,ubj
application/ulpfec,IANA,,false,
application/urc-grpsheet+xml,IANA,,true,
application/urc-ressheet+xml,IANA,,true,rsheet
application/urc-targetdesc+xml,IANA,,true,td
application/urc-uisocketdesc+xml,IANA,,true,
application/vcard+json,IANA,,true,
application/vcard+xml,IANA,,true,
application/vemmi,IANA,,false,
application/vividence.scriptfile,APACHE,,false,
application/vnd.1000minds.decision-model+xml,IANA,,true,1km
application/vnd.3gpp-prose+xml,IANA,,true,
application/vnd.3gpp-prose-pc3ch+xml,IANA,,true,
application/vnd.3gpp-v2x-local-service-information,IANA,,false,
application/vnd.3gpp.5gnas,IANA,,false,
application/vnd.3gpp.access-transfer-events+xml,IANA,,true,
application/vnd.3gpp.bsf+xml,IANA,,true,
application/vnd.3gpp.gmop+xml,IANA,,true,
application/vnd.3gpp.gtpc,IANA,,false,
application/vnd.3gpp.interworking-data,IANA,,false,
application/vnd.3gpp.lpp,IANA,,false,
application/vnd.3gpp.mc-signalling-ear,IANA,,false,
application/vnd.3gpp.mcdata-affiliation-command+xml,IANA,,true,
application/vnd.3gpp.mcdata-info+xml,IANA,,true,
application/vnd.3gpp.mcdata-payload,IANA,,false,
application/vnd.3gpp.mcdata-service-config+xml,IANA,,true,
application/vnd.3gpp.mcdata-signalling,IANA,,false,
application/vnd.3gpp.mcdata-ue-config+xml,IANA,,true,
application/vnd.3gpp.mcdata-user-profile+xml,IANA,,true,
application/vnd.3gpp.mcptt-affiliation-command+xml,IANA,,true,
application/vnd.3gpp.mcptt-floor-request+xml,IANA,,true,
application/vnd.3gpp.mcptt-info+xml,IANA,,true,
application/vnd.3gpp.mcptt-location-info+xml,IANA,,true,
application/vnd.3gpp.mcptt-mbms-usage-info+xml,IANA,,true,
application/vnd.3gpp.mcptt-service-config+xml,IANA,,true,
application/vnd.3gpp.mcptt-signed+xml,IANA,,true,
application/vnd.3gpp.mcptt-ue-config+xml,IANA,,true,
application/vnd.3gpp.mcptt-ue-init-config+xml,IANA,,true,
application/vnd.3gpp.mcptt-user-profile+xml,IANA,,true,
application/vnd.3gpp.mcvideo-affiliation-command+xml,IANA,,true,
application/vnd.3gpp.mcvideo-affiliation-info+xml,IANA,,true,
application/vnd.3gpp.mcvideo-info+xml,IANA,,true,
application/vnd.3gpp.mcvideo-location-info+xml,IANA,,true,
application/vnd.3gpp.mcvideo-mbms-usage-info+xml,IANA,,true,
application/vnd.3gpp.mcvideo-service-config+xml,IANA,,true,
application/vnd.3gpp.mcvideo-transmission-request+xml,IANA,,true,
application/vnd.3gpp.mcvideo-ue-config+xml,IANA,,true,
application/vnd.3gpp.mcvideo-user-profile+xml,IANA,,true,
application/vnd.3gpp.mid-call+xml,IANA,,true,
application/vnd.3gpp.ngap,IANA,,false,
application/vnd.3gpp.pfcp,IANA,,false,
application/vnd.3gpp.pic-bw-large,IANA,,false,plb
application/vnd.3gpp.pic-bw-small,IANA,,false,psb
application/vnd.3gpp.pic-bw-var,IANA,,false,pvb
application/vnd.3gpp.s1ap,IANA,,false,
application/vnd.3gpp.sms,IANA,,false,
application/vnd.3gpp.sms+xml,IANA,,true,
application/vnd.3gpp.srvcc-ext+xml,IANA,,true,
application/vnd.3gpp.srvcc-info+xml,IANA,,true,
application/vnd.3gpp.state-and-event-info+xml,IANA,,true,
application/vnd.3gpp.ussd+xml,IANA,,true,
application/vnd.3gpp2.bcmcsinfo+xml,IANA,,true,
application/vnd.3gpp2.sms,IANA,,false,
application/vnd.3gpp2.tcap,IANA,,false,tcap
application/vnd.3lightssoftware.imagescal,IANA,,false,
application/vnd.3m.post-it-notes,IANA,,false,pwn
application/vnd.accpac.simply.aso,IANA,,false,aso
application/vnd.accpac.simply.imp,IANA,,false,imp
application/vnd.acucobol,IANA,,false,acu
application/vnd.acucorp,IANA,,false,atc;acutc
application/vnd.adobe.air-application-installer-package+zip,APACHE,,false,air
application/vnd.adobe.flash.movie,IANA,,false,
application/vnd.adobe.formscentral.fcdt,IANA,,false,fcdt
application/vnd.adobe.fxp,IANA,,false,fxp;fxpl
application/vnd.adobe.partial-upload,IANA,,false,
application/vnd.adobe.xdp+xml,IANA,,true,xdp
application/vnd.adobe.xfdf,IANA,,false,xfdf
application/vnd.aether.imp,IANA,,false,
application/vnd.afpc.afplinedata,IANA,,false,
application/vnd.afpc.afplinedata-pagedef,IANA,,false,
